| Algorithm    | prob     | n     | t                     | n_it   | f_opt                   | g_norm                 | fevals   | gevals   | nfails   | cosmin                  | cosmax                  |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANA | 3000  | 0.003924369812011719  | 6      | 1.0000000003494212      | 8.237677875958357e-07  | 22       | 8        | 1        | --                      | --                      |
| QPS-roma     | DIXMAANA | 3000  | 0.012415647506713867  | 9      | 1.000085680045394       | 0.00041471833799638084 | 85       | 11       | 1        | -0.999994233541379      | 0.9761919796429         |
| QPS-roma_box | DIXMAANA | 3000  | 0.023223876953125     | 5      | 1.0000189440627298      | 0.00023198566965393287 | 70       | 52       | 1        | -6.79355034280229e-12   | 1.246535127896947e-05   |
| scipy_lbfgs  | DIXMAANA | 3000  | 0.007512331008911133  | 9      | 1.0002602369299431      | 0.0008019704517347187  | 11       | 11       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANB | 3000  | 0.00434112548828125   | 5      | 1.0000000514996978      | 5.3105867580950136e-05 | 19       | 7        | 1        | --                      | --                      |
| QPS-roma     | DIXMAANB | 3000  | 0.00661158561706543   | 5      | 1.0000000514996978      | 5.3105867580950136e-05 | 30       | 7        | 1        | inf                     | -inf                    |
| QPS-roma_box | DIXMAANB | 3000  | 0.015415430068969727  | 5      | 1.0000000181187287      | 3.508052878313723e-05  | 48       | 36       | 1        | 1.4736491615593484e-13  | 1.4736491615593484e-13  |
| scipy_lbfgs  | DIXMAANB | 3000  | 0.006898164749145508  | 9      | 1.0000100938776726      | 0.0006158030962495605  | 11       | 11       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANC | 3000  | 0.0037055015563964844 | 5      | 1.0000001632758875      | 0.00045666875639049307 | 20       | 7        | 1        | --                      | --                      |
| QPS-roma     | DIXMAANC | 3000  | 0.004892826080322266  | 5      | 1.0000001632758875      | 0.00045666875639049307 | 31       | 7        | 1        | inf                     | -inf                    |
| QPS-roma_box | DIXMAANC | 3000  | 0.016469717025756836  | 5      | 1.0000015959662119      | 0.00029770567073557125 | 51       | 39       | 1        | -1.357171637658394e-10  | -1.357171637658394e-10  |
| scipy_lbfgs  | DIXMAANC | 3000  | 0.008137941360473633  | 11     | 1.0000001567050585      | 8.299074456547609e-05  | 13       | 13       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAAND | 3000  | 0.004619598388671875  | 6      | 1.0000000002411655      | 5.413909853142854e-06  | 25       | 8        | 1        | --                      | --                      |
| QPS-roma     | DIXMAAND | 3000  | 0.00683283805847168   | 6      | 1.0000002900330205      | 0.00021568028393493838 | 47       | 8        | 1        | -0.18738881061693188    | -0.18738881061693188    |
| QPS-roma_box | DIXMAAND | 3000  | 0.014836311340332031  | 6      | 1.0000006053695905      | 0.000506943485259823   | 48       | 35       | 1        | -2.1323726957765727e-09 | -2.1323726957765727e-09 |
| scipy_lbfgs  | DIXMAAND | 3000  | 0.008464336395263672  | 12     | 1.0000063122524319      | 0.0007019886026321261  | 14       | 14       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANE | 3000  | 0.028184175491333008  | 42     | 1.0014740907540733      | 0.0009712552889779974  | 166      | 44       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANE | 3000  | 0.46218156814575195   | 217    | 1.000441757481235       | 0.0005869318639911562  | 3170     | 219      | 1        | -0.99999650811847       | 0.9999571306273625      |
| QPS-roma_box | DIXMAANE | 3000  | 0.1039729118347168    | 65     | 1.0004840205923888      | 0.0009785951934672824  | 399      | 150      | 1        | -0.12383382134479004    | 1.1417102412376884e-07  |
| scipy_lbfgs  | DIXMAANE | 3000  | 0.05978822708129883   | 76     | 1.0012143542213243      | 0.0008742075457805209  | 81       | 81       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANF | 3000  | 0.017574071884155273  | 28     | 1.000540707686668       | 0.0009833640037541643  | 111      | 30       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANF | 3000  | 0.08551549911499023   | 49     | 1.0007670705743803      | 0.0007267370848274102  | 611      | 51       | 3        | -0.9998273403690835     | 0.9999890331120118      |
| QPS-roma_box | DIXMAANF | 3000  | 0.04932284355163574   | 21     | 1.0013273527841065      | 0.000765900312283728   | 164      | 102      | 2        | -0.9936083704174234     | 0.04943989551418217     |
| scipy_lbfgs  | DIXMAANF | 3000  | 0.02631354331970215   | 46     | 1.0008362980165508      | 0.0009272754546412129  | 49       | 49       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANG | 3000  | 0.045015811920166016  | 72     | 1.0598957782726426      | 0.0008200866345784551  | 287      | 74       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANG | 3000  | 0.1031184196472168    | 59     | 1.0009620802955768      | 0.0008206040318112954  | 745      | 61       | 3        | -0.9999999999999841     | 0.999732052284353       |
| QPS-roma_box | DIXMAANG | 3000  | 0.05269503593444824   | 24     | 1.0006916055195374      | 0.0007419778734771023  | 182      | 108      | 2        | -0.9934515057634841     | 0.030776822253374008    |
| scipy_lbfgs  | DIXMAANG | 3000  | 0.03153681755065918   | 50     | 1.000612759585141       | 0.0007388053284054241  | 52       | 52       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANH | 3000  | 0.015212774276733398  | 24     | 1.000507036374276       | 0.0009625106801563656  | 97       | 26       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANH | 3000  | 0.07666134834289551   | 48     | 1.0011711026385306      | 0.0008388406496635915  | 543      | 50       | 3        | -0.9999999999999983     | 0.9998420205504053      |
| QPS-roma_box | DIXMAANH | 3000  | 0.048378944396972656  | 18     | 1.001065751161846       | 0.0007277250430813607  | 162      | 101      | 1        | -0.6236715302511532     | 0.039594567571850106    |
| scipy_lbfgs  | DIXMAANH | 3000  | 0.025113821029663086  | 43     | 1.0009662717496832      | 0.0009659073724102671  | 46       | 46       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANI | 3000  | 0.06352972984313965   | 95     | 1.0014202516190867      | 0.0009808154374253157  | 378      | 97       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANI | 3000  | 3.7303733825683594    | 1571   | 1.0001019100367947      | 0.0008376294059725897  | 23231    | 1573     | 2        | -0.9999999999999994     | 0.9999999430034329      |
| QPS-roma_box | DIXMAANI | 3000  | 0.17664027214050293   | 107    | 1.0021577588110593      | 0.000971510148037416   | 658      | 251      | 2        | -0.9707330703383011     | 1.583387579209054e-05   |
| scipy_lbfgs  | DIXMAANI | 3000  | 0.05408048629760742   | 96     | 1.011262311654225       | 0.0009108866067485082  | 100      | 100      | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANJ | 3000  | 0.1298980712890625    | 211    | 1.1652184410734572      | 0.0006712550801696388  | 822      | 213      | 4        | --                      | --                      |
| QPS-roma     | DIXMAANJ | 3000  | 0.4278438091278076    | 385    | 1.1989431275388387      | 0.00092625528085259    | 2892     | 387      | 56       | -1.0                    | 0.9999848201425299      |
| QPS-roma_box | DIXMAANJ | 3000  | 0.06737756729125977   | 26     | 1.0038746576762962      | 0.0007997646244076909  | 214      | 148      | 4        | -0.9783848022498964     | 0.40750776147663753     |
| scipy_lbfgs  | DIXMAANJ | 3000  | 0.02264571189880371   | 38     | 1.0006464740166376      | 0.0005320639521329033  | 42       | 42       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANK | 3000  | 0.10651731491088867   | 179    | 1.515085154667381       | 0.0003989537659485346  | 650      | 181      | 11       | --                      | --                      |
| QPS-roma     | DIXMAANK | 3000  | 6.368947982788086     | 2895   | 1.0000015916712897      | 3.8066604085481084e-05 | 41925    | 2897     | 3        | -0.9999999999999962     | 0.9999999999989595      |
| QPS-roma_box | DIXMAANK | 3000  | 0.05593609809875488   | 21     | 1.0085838824160387      | 0.0009580458864909823  | 174      | 121      | 3        | -0.9970451899971098     | 0.09136650652628449     |
| scipy_lbfgs  | DIXMAANK | 3000  | 0.01836109161376953   | 30     | 1.0015342519077375      | 0.0006470894806847404  | 33       | 33       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANL | 3000  | 0.1141211986541748    | 222    | 2.5489157687364976      | 0.00039223816122103966 | 683      | 224      | 31       | --                      | --                      |
| QPS-roma     | DIXMAANL | 3000  | 0.30344629287719727   | 282    | 2.613788883794567       | 0.0008465719543881299  | 2018     | 284      | 42       | -0.9999999999999996     | 0.9998983575561939      |
| QPS-roma_box | DIXMAANL | 3000  | 0.055676937103271484  | 20     | 1.0045574518483396      | 0.0007051753323931952  | 170      | 119      | 3        | -0.7102840377234977     | 0.11838484222889607     |
| scipy_lbfgs  | DIXMAANL | 3000  | 0.02218174934387207   | 37     | 1.0002975743671665      | 0.0008299733435068512  | 40       | 40       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANM | 3000  | 0.10246539115905762   | 152    | 1.0019128105386905      | 0.0009644456166056626  | 605      | 154      | 1        | --                      | --                      |
| QPS-roma     | DIXMAANM | 3000  | 6.334985017776489     | 2784   | 1.0000622139308974      | 1.5229410000981212e-05 | 40626    | 2786     | 13       | -1.0                    | 0.9999999985259532      |
| QPS-roma_box | DIXMAANM | 3000  | 0.23884010314941406   | 144    | 1.0022302903277105      | 0.0009920474505486037  | 916      | 362      | 2        | -0.971352551713529      | 0.5306564672175691      |
| scipy_lbfgs  | DIXMAANM | 3000  | 0.053345441818237305  | 95     | 1.0103517626111953      | 0.0008297833304764569  | 100      | 100      | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANN | 3000  | 0.026332378387451172  | 43     | 1.0036519895868927      | 0.0009449578357801881  | 170      | 45       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANN | 3000  | 0.16095995903015137   | 107    | 1.003892939368463       | 0.0008981161463339741  | 1158     | 109      | 8        | -1.0                    | 0.9998080230263371      |
| QPS-roma_box | DIXMAANN | 3000  | 0.1288285255432129    | 64     | 1.0007483320687482      | 0.0009446723239177484  | 444      | 231      | 4        | -0.9961489484067674     | 0.3373981571488768      |
| scipy_lbfgs  | DIXMAANN | 3000  | 0.027100324630737305  | 46     | 1.0030454717733701      | 0.0008306800247340206  | 48       | 48       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANO | 3000  | 0.02880096435546875   | 42     | 1.0029852217552495      | 0.0009167043366511696  | 167      | 44       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANO | 3000  | 0.35637712478637695   | 221    | 1.0030313526665482      | 0.0008655903528046397  | 2505     | 223      | 14       | -1.0000000000000002     | 0.9999999999999986      |
| QPS-roma_box | DIXMAANO | 3000  | 0.09285354614257812   | 47     | 1.001993708173713       | 0.0007682162366242765  | 320      | 183      | 5        | -0.9948617336882287     | 0.48103782982054916     |
| scipy_lbfgs  | DIXMAANO | 3000  | 0.03254365921020508   | 56     | 1.0008916345169183      | 0.0007650052143371806  | 60       | 60       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | DIXMAANP | 3000  | 0.02470088005065918   | 39     | 1.0025528896871847      | 0.0009446051031044957  | 156      | 41       | 1        | --                      | --                      |
| QPS-roma     | DIXMAANP | 3000  | 0.1602764129638672    | 89     | 1.0024382538293066      | 0.000936501901566137   | 1161     | 91       | 3        | -0.9999999999927963     | 0.9988683236338562      |
| QPS-roma_box | DIXMAANP | 3000  | 0.11012029647827148   | 59     | 1.0006310622575365      | 0.0009669008583134606  | 382      | 220      | 7        | -0.998243364863984      | 0.11861607835903387     |
| scipy_lbfgs  | DIXMAANP | 3000  | 0.02557206153869629   | 43     | 1.0019437328393535      | 0.0008614896694746716  | 46       | 46       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | EDENSCH  | 10000 | 0.08897852897644043   | 24     | 60003.284592067204      | 0.0004757799597431455  | 87       | 26       | 4        | --                      | --                      |
| QPS-roma     | EDENSCH  | 10000 | 0.28684210777282715   | 46     | 60003.28459203774       | 0.0003368851185368005  | 581      | 48       | 2        | -0.9995892083099827     | 0.9998407376652758      |
| QPS-roma_box | EDENSCH  | 10000 | 0.14630532264709473   | 22     | 60003.284592124415      | 0.000638870325632368   | 147      | 80       | 2        | -0.9969591520093005     | 0.6686352097229882      |
| scipy_lbfgs  | EDENSCH  | 10000 | 0.06670689582824707   | 25     | 60003.28459213511       | 0.0008150276407352663  | 31       | 31       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | ENGVAL1  | 5000  | 0.015241622924804688  | 14     | 5548.668419631399       | 0.0008576701857487616  | 62       | 16       | 1        | --                      | --                      |
| QPS-roma     | ENGVAL1  | 5000  | 0.11022567749023438   | 40     | 5548.668419788779       | 0.00013200835138782452 | 535      | 42       | 1        | -1.0000000000000013     | 0.9999989326428539      |
| QPS-roma_box | ENGVAL1  | 5000  | 0.03658437728881836   | 14     | 5548.668419467559       | 0.0008609178228997649  | 92       | 47       | 1        | -0.7560038857262783     | 0.336461884261743       |
| scipy_lbfgs  | ENGVAL1  | 5000  | 0.015686988830566406  | 15     | 5548.668419476293       | 0.0005993330316806933  | 17       | 17       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | FLETCBV3 | 5000  | 10.668127298355103    | 5000   | -1.2833940710658442e+17 | 2.098957782405607      | 17846    | 5002     | 308      | --                      | --                      |
| QPS-roma     | FLETCBV3 | 5000  | 14.154930114746094    | 5000   | 1.1290112441923475e+22  | 1355025.568652177      | 21991    | 5002     | 909      | -0.9999999999998346     | 0.9999999999994507      |
| QPS-roma_box | FLETCBV3 | 5000  | 24.2217378616333      | 5000   | -1.2834685763277725e+17 | 1.5723706821241774     | 27936    | 9465     | 139      | -0.999947507849141      | 0.004724840078784874    |
| scipy_lbfgs  | FLETCBV3 | 5000  | 9.402575016021729     | 5000   | -1.2932880058330131e+17 | 4.954978338156552      | 5059     | 5059     | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | FLETCHCR | 1000  | 0.043485164642333984  | 188    | 1.751532693652869e-07   | 0.0009223331525183568  | 751      | 190      | 1        | --                      | --                      |
| QPS-roma     | FLETCHCR | 1000  | 3.665605068206787     | 5000   | 986.8438584800435       | 36.54093786098634      | 62060    | 5002     | 243      | -1.0000000000000002     | 0.9999999659940944      |
| QPS-roma_box | FLETCHCR | 1000  | 7.139938116073608     | 4212   | 5.717527077378637e-07   | 0.0009839147262200648  | 52806    | 36013    | 6        | -0.9997903933427162     | 0.317131686890643       |
| scipy_lbfgs  | FLETCHCR | 1000  | 0.9850776195526123    | 4917   | 2.6418651004708996e-09  | 0.000529302692734769   | 5820     | 5820     | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | FMINSURF | 5625  | 0.3057687282562256    | 258    | 1.0027684573789692      | 0.0009949385379678887  | 955      | 260      | 12       | --                      | --                      |
| QPS-roma     | FMINSURF | 5625  | 0.8168110847473145    | 379    | 1.075937626805159       | 0.0008474231942199354  | 3210     | 381      | 48       | -0.9999988690445575     | 0.9992271154742155      |
| QPS-roma_box | FMINSURF | 5625  | 1.331907033920288     | 309    | 1.0011379064966828      | 0.0009860013326435518  | 2346     | 1307     | 19       | -0.9990737699959651     | 0.13423533163288723     |
| scipy_lbfgs  | FMINSURF | 5625  | 0.19848918914794922   | 174    | 1.0183890359731378      | 0.000997127493083721   | 178      | 178      | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | LIARWHD  | 5000  | 0.037694692611694336  | 41     | 1.84564340298385e-12    | 0.0002604635663622843  | 149      | 43       | 6        | --                      | --                      |
| QPS-roma     | LIARWHD  | 5000  | 1.203852653503418     | 462    | 8.311867679423793e-06   | 0.00016355064326232225 | 6454     | 464      | 8        | -1.0000000000000135     | 0.9999999999993748      |
| QPS-roma_box | LIARWHD  | 5000  | 0.09255170822143555   | 16     | 8.31241513933186e-06    | 0.0001632758176461519  | 216      | 140      | 1        | -0.7658433937907787     | 0.9116922554296268      |
| scipy_lbfgs  | LIARWHD  | 5000  | 0.022525310516357422  | 23     | 1.0387284996222966e-15  | 6.520133757788904e-06  | 27       | 27       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | MOREBV   | 5000  | 0.0009703636169433594 | 0      | 1.5969074274173896e-07  | 0.0007990407356545355  | 2        | 2        | 0        | --                      | --                      |
| QPS-roma     | MOREBV   | 5000  | 0.0006237030029296875 | 0      | 1.5969074274173896e-07  | 0.0007990407356545355  | 2        | 2        | 0        | inf                     | -inf                    |
| QPS-roma_box | MOREBV   | 5000  | 0.0005793571472167969 | 0      | 1.5969074274173896e-07  | 0.0007990407356545355  | 2        | 2        | 0        | inf                     | -inf                    |
| scipy_lbfgs  | MOREBV   | 5000  | 0.0032782554626464844 | 0      | 1.5969074274173896e-07  | 0.0007990407356545355  | 1        | 1        | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | NCB20    | 5010  | 1.3073623180389404    | 316    | -840.362891836256       | 0.0008274308971971539  | 1012     | 318      | 44       | --                      | --                      |
| QPS-roma     | NCB20    | 5010  | 6.13672947883606      | 562    | -791.8841777632911      | 0.0005341113767912799  | 6093     | 564      | 45       | -0.9999999999999977     | 0.9999994806358607      |
| QPS-roma_box | NCB20    | 5010  | 3.0456111431121826    | 233    | -1090.47073243065       | 0.0008621412822749086  | 1673     | 836      | 11       | -0.995479227360017      | 0.2649628358786754      |
| scipy_lbfgs  | NCB20    | 5010  | 0.6277475357055664    | 174    | -1204.2344442978224     | 0.0006487722799341789  | 198      | 198      | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | NONCVXU2 | 5000  | 4.348648548126221     | 3347   | 11584.958480828105      | 0.0009994452401160814  | 13387    | 3349     | 1        | --                      | --                      |
| QPS-roma     | NONCVXU2 | 5000  | 18.64529538154602     | 5000   | 12738.485550558573      | 0.1892112856120871     | 65425    | 5002     | 163      | -0.9999999378104301     | 0.9999999478303102      |
| QPS-roma_box | NONCVXU2 | 5000  | 11.481813192367554    | 3055   | 11585.326887717927      | 0.0009997687189184923  | 20673    | 8453     | 0        | -0.04118759529446764    | 0.017258258758109588    |
| scipy_lbfgs  | NONCVXU2 | 5000  | 3.8624722957611084    | 3385   | 11584.193865230656      | 0.0008996655003654652  | 3466     | 3466     | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | NONCVXUN | 5000  | 6.65067195892334      | 5000   | 11606.017323189259      | 0.016672217520624866   | 19999    | 5002     | 1        | --                      | --                      |
| QPS-roma     | NONCVXUN | 5000  | 17.494162559509277    | 5000   | 12673.040917918943      | 0.20424449059679706    | 61817    | 5002     | 232      | -0.9999999999463357     | 0.9999999998164856      |
| QPS-roma_box | NONCVXUN | 5000  | 16.00204062461853     | 5000   | 11600.277172845661      | 0.005804943197152745   | 32556    | 12556    | 0        | -0.03438761579517481    | 0.012011840787598635    |
| scipy_lbfgs  | NONCVXUN | 5000  | 5.468031883239746     | 5000   | 11594.123926495098      | 0.004721942396010537   | 5110     | 5110     | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | NONDIA   | 5000  | 0.00875544548034668   | 5      | 0.0002574467285153788   | 0.00025646194135531264 | 34       | 7        | 1        | --                      | --                      |
| QPS-roma     | NONDIA   | 5000  | 0.008609771728515625  | 5      | 0.0002574467285153788   | 0.00025646194135531264 | 37       | 7        | 1        | inf                     | -inf                    |
| QPS-roma_box | NONDIA   | 5000  | 0.0062105655670166016 | 1      | 0.00025696997080528394  | 0.0002566289747928385  | 12       | 8        | 0        | inf                     | -inf                    |
| scipy_lbfgs  | NONDIA   | 5000  | 0.006491661071777344  | 4      | 0.000257072072567898    | 0.0002565602365223185  | 5        | 5        | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | NONDQUAR | 5000  | 0.07245492935180664   | 178    | 0.0010002710848253814   | 0.0009698349364928936  | 598      | 180      | 21       | --                      | --                      |
| QPS-roma     | NONDQUAR | 5000  | 0.2968254089355469    | 283    | 0.0019144528518671548   | 0.0008900661354846148  | 2677     | 285      | 27       | -0.9999999999999947     | 0.9999999999956197      |
| QPS-roma_box | NONDQUAR | 5000  | 0.23868751525878906   | 153    | 0.000568736029855271    | 0.0008040457106339835  | 1094     | 598      | 11       | -0.999019202105821      | 0.8307631997141118      |
| scipy_lbfgs  | NONDQUAR | 5000  | 0.07339811325073242   | 103    | 0.0003447129904928643   | 0.0009792097237887518  | 118      | 118      | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | POWELLSG | 5000  | 0.020623445510864258  | 53     | 0.006857260740652826    | 0.000458933513941027   | 183      | 55       | 7        | --                      | --                      |
| QPS-roma     | POWELLSG | 5000  | 1.250514268875122     | 827    | 0.0006816248258390568   | 0.00020405132961574704 | 11913    | 829      | 7        | -1.000000000000013      | 0.9999999994024436      |
| QPS-roma_box | POWELLSG | 5000  | 0.048259735107421875  | 21     | 0.005063214727077435    | 0.0008338634904789921  | 216      | 143      | 1        | -0.9973927440798211     | 0.42261441521933224     |
| scipy_lbfgs  | POWELLSG | 5000  | 0.015852689743041992  | 26     | 0.0005741271381446254   | 0.00024188094344284867 | 28       | 28       | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | POWER    | 10000 | 0.18664264678955078   | 286    | 1.376002673890142e-05   | 0.0009438324544934986  | 1060     | 288      | 14       | --                      | --                      |
| QPS-roma     | POWER    | 10000 | 1.033094882965088     | 723    | 1.5560618510443593e-05  | 0.0009615786190782132  | 7110     | 725      | 66       | -1.0000000000000002     | 0.9999999988548087      |
| QPS-roma_box | POWER    | 10000 | 1.2616255283355713    | 307    | 2.7118975467367247e-06  | 0.0009561405688285912  | 3861     | 2665     | 3        | -0.9372460077778235     | 0.1773418943104854      |
| scipy_lbfgs  | POWER    | 10000 | 0.27615857124328613   | 307    | 1.7357727549867046e-05  | 0.000946770729079024   | 314      | 314      | nan      | nan                     | nan                     |
| --           | --       | --    | --                    | --     | --                      | --                     | --       | --       | --       | --                      | --                      |
| QPS          | SCHMVETT | 5000  | 0.04763627052307129   | 23     | -14993.999999780714     | 0.000863223343863812   | 91       | 25       | 1        | --                      | --                      |
| QPS-roma     | SCHMVETT | 5000  | 0.23883891105651855   | 46     | -14993.999999702124     | 0.0004651205840056379  | 535      | 48       | 3        | -0.9999999102551316     | 0.9995752330091066      |
| QPS-roma_box | SCHMVETT | 5000  | 0.11305737495422363   | 23     | -14993.99999967053      | 0.0009446669086318079  | 150      | 58       | 0        | -0.0022440718554551185  | 0.26356089212958733     |
