| Algorithm   | prob     |     n |           t |   n_it |            f_opt |      g_norm |   fevals |   gevals |   nfails |        cosmin |         cosmax |
| QPS-roma    | ENGVAL1  |  5000 |  0.101392   |     14 |   5548.67        | 0.000388842 |      484 |       16 |        1 |  -0.756004    |    0.00884225  |
| scipy_lbfgs | ENGVAL1  |  5000 |  0.0163531  |     15 |   5548.67        | 0.000599333 |       17 |       17 |      nan | nan           |  nan           |
| QPS-roma    | FLETCHCR |  1000 |  0.352304   |    124 |      2.08038e-07 | 0.000916452 |     5682 |      126 |        1 |  -0.743014    |    7.67861e-05 |
| scipy_lbfgs | FLETCHCR |  1000 |  1.04107    |   4917 |      2.64187e-09 | 0.000529303 |     5820 |     5820 |      nan | nan           |  nan           |
| QPS-roma    | FMINSURF |  5625 |  2.93851    |    237 |      1.00091     | 0.000841384 |    12291 |      239 |        0 |  -2.39408e-05 |    0.00314603  |
| scipy_lbfgs | FMINSURF |  5625 |  0.271282   |    174 |      1.01839     | 0.000997127 |      178 |      178 |      nan | nan           |  nan           |
| QPS-roma    | LIARWHD  |  5000 |  0.0790882  |     14 |      7.07327e-07 | 4.76275e-05 |      386 |       16 |        3 |  -0.999998    |    0.0186893   |
| scipy_lbfgs | LIARWHD  |  5000 |  0.0230055  |     23 |      1.03873e-15 | 6.52013e-06 |       27 |       27 |      nan | nan           |  nan           |
| QPS-roma    | NCB20    |  5010 | 11.4089     |    210 |  -1130.87        | 0.000636807 |    10954 |      212 |        1 |  -0.0106406   |    0.00597857  |
| scipy_lbfgs | NCB20    |  5010 |  0.709738   |    174 |  -1204.23        | 0.000648772 |      198 |      198 |      nan | nan           |  nan           |
| QPS-roma    | NONCVXU2 |  5000 | 40.2561     |   3325 |  11584.5         | 0.000981228 |   163863 |     3327 |        0 |  -6.06431e-05 |    4.20523e-05 |
| scipy_lbfgs | NONCVXU2 |  5000 |  4.02718    |   3385 |  11584.2         | 0.000899666 |     3466 |     3466 |      nan | nan           |  nan           |
| QPS-roma    | NONCVXUN |  5000 | 61.5781     |   5000 |  11605.4         | 0.00615398  |   247037 |     5002 |        0 |  -3.38664e-05 |    2.26271e-05 |
| scipy_lbfgs | NONCVXUN |  5000 |  6.1397     |   5000 |  11594.1         | 0.00472194  |     5110 |     5110 |      nan | nan           |  nan           |
| QPS-roma    | NONDIA   |  5000 |  0.00953722 |      5 |      0.000257447 | 0.000256462 |       37 |        7 |        1 | inf           | -inf           |
| scipy_lbfgs | NONDIA   |  5000 |  0.00784063 |      4 |      0.000257072 | 0.00025656  |        5 |        5 |      nan | nan           |  nan           |
| QPS-roma    | NONDQUAR |  5000 |  0.793645   |    128 |      0.000335406 | 0.000928546 |     7496 |      130 |        1 |  -0.983812    |    0.00207054  |
| scipy_lbfgs | NONDQUAR |  5000 |  0.0629423  |    103 |      0.000344713 | 0.00097921  |      118 |      118 |      nan | nan           |  nan           |
| QPS-roma    | POWELLSG |  5000 |  0.0548668  |     15 |      0.00364847  | 0.000731336 |      487 |       17 |        2 |  -0.559462    |    0.0477677   |
| scipy_lbfgs | POWELLSG |  5000 |  0.0184338  |     26 |      0.000574127 | 0.000241881 |       28 |       28 |      nan | nan           |  nan           |
| QPS-roma    | POWER    | 10000 |  2.19122    |    281 |      1.94444e-05 | 0.000987345 |    16049 |      283 |        1 |  -0.994109    |    0.0272081   |
| scipy_lbfgs | POWER    | 10000 |  0.310971   |    307 |      1.73577e-05 | 0.000946771 |      314 |      314 |      nan | nan           |  nan           |
| QPS-roma    | SCHMVETT |  5000 |  0.376673   |     22 | -14994           | 0.000770141 |      921 |       24 |        1 |  -0.994622    |    0.000198375 |
| scipy_lbfgs | SCHMVETT |  5000 |  0.0506403  |     27 | -14994           | 0.000647497 |       29 |       29 |      nan | nan           |  nan           |
| QPS-roma    | SROSENBR |  5000 |  0.0243247  |      6 |      2.37137e-12 | 9.72065e-07 |      221 |        8 |        1 |  -0.993803    |   -0.993803    |
| scipy_lbfgs | SROSENBR |  5000 |  0.0117712  |     16 |      7.52942e-08 | 0.000119951 |       17 |       17 |      nan | nan           |  nan           |
| QPS-roma    | TOINTGSS |  5000 |  0.0240901  |      1 |     10.002       | 1.42109e-14 |      106 |        3 |        0 | inf           | -inf           |
| scipy_lbfgs | TOINTGSS |  5000 |  0.0187006  |     13 |     10.002       | 0.000364092 |       17 |       17 |      nan | nan           |  nan           |
| QPS-roma    | TQUARTIC |  5000 |  0.015296   |      1 |      0.806135    | 0.000343907 |      109 |        3 |        0 | inf           | -inf           |
| scipy_lbfgs | TQUARTIC |  5000 |  0.0173063  |     18 |      9.28792e-14 | 3.97812e-05 |       26 |       26 |      nan | nan           |  nan           |
| QPS-roma    | VAREIGVL |  5000 |  0.443818   |     36 |      1.64003e-05 | 0.000812879 |     1506 |       38 |        1 |  -0.870612    |    5.80797e-05 |
| scipy_lbfgs | VAREIGVL |  5000 |  0.0245726  |     15 |      1.11792e-07 | 0.000871173 |       19 |       19 |      nan | nan           |  nan           |
| QPS-roma    | WOODS    |  4000 |  0.244324   |     37 |      2.58268e-05 | 0.000797072 |     2090 |       39 |        1 |  -0.90135     |    0.000585677 |
| scipy_lbfgs | WOODS    |  4000 |  0.0592883  |     87 |      5.67533e-07 | 0.000319947 |      114 |      114 |      nan | nan           |  nan           |
